date,trip_count,total_revenue,avg_surcharge
2025-01-01,89553,2239738.0999998925,1.7651279130794055
2025-01-02,84711,2336015.7099998686,2.061727520628962
2025-01-03,91015,2407041.669999959,2.0865132121078944
2025-01-04,97752,2461551.3499999093,2.096936635567559
2025-01-05,79410,2189880.2299999325,2.0436846744742474
2025-01-06,80126,2189544.2999999532,2.0626544442503056
2025-01-07,100222,2559598.3399999454,2.048372612799585
2025-01-08,112861,2807988.3499999642,1.9820620054757623
2025-01-09,118099,2988190.1299999584,1.9788461375625535
2025-01-10,110203,2830473.7399999956,1.9839273885465913
2025-01-11,121742,2876336.8499999754,1.9209455241412168
2025-01-12,102176,2598951.9299999727,1.828301166614469
2025-01-13,99656,2590276.389999956,1.9701222204383078
2025-01-14,120133,3019330.300000025,1.950082408663731
2025-01-15,124131,3139485.539999972,1.9350726248882228
2025-01-16,135165,3485256.5000000005,1.9008045721895461
2025-01-17,118527,3038623.209999958,1.8718435461962253
2025-01-18,119456,2766860.8799999706,1.8020065965711225
2025-01-19,117903,2681566.4299999736,1.5130806680067512
2025-01-20,89765,3253774.2299998836,1.638266584971871
2025-01-21,116017,2930605.889999953,1.8313329081082945
2025-01-22,125427,3073373.479999975,1.8432554394189449
2025-01-23,135340,3366696.2699999823,1.8378324959361607
2025-01-24,126860,3151744.1799999843,1.864043039571181
2025-01-25,136599,3148616.2600000054,1.8223248340031772
2025-01-26,102061,2580190.0499999393,1.7869092993405904
2025-01-27,92693,2431170.159999953,1.9757856580324296
2025-01-28,112891,2817382.9699999313,1.9508397480755773
2025-01-29,119332,2993603.4199999697,1.941090822243824
2025-01-30,130726,3332490.039999994,1.903900142282331
2025-01-31,129552,3209377.6199999982,1.7828593923675435
2025-02-01,148595,3397175.620000006,1.689806184595713
2025-02-02,123361,2997235.9899999704,1.6249807475620335
2025-02-03,97967,2552714.2799999625,1.8918768564924924
2025-02-04,118785,2953934.62000002,1.9234562444753125
2025-02-05,126630,3206071.659999988,1.914641080312722
2025-02-06,124700,3140578.770000007,1.8756876503608662
2025-02-07,134960,3329347.219999966,1.8165011855364552
2025-02-08,145894,3393934.7200000077,1.666770052229701
2025-02-09,123031,3048885.1199999517,1.41826856645886
2025-02-10,107456,2816457.119999964,1.839308647260274
2025-02-11,123996,3065748.0499999835,1.8481120358721248
2025-02-12,126741,3108753.0399999856,1.8187326910786565
2025-02-13,139750,3519416.190000017,1.7562969588550983
2025-02-14,153021,3863953.4499999373,1.5941030969605479
2025-02-15,148191,3342244.629999967,1.4968824017652893
2025-02-16,113332,2670032.279999939,1.469306991846963
2025-02-17,94449,2442564.669999967,1.7366277038401676
2025-02-18,115751,2987822.459999971,1.8555606431045952
2025-02-19,122048,3031566.9899999895,1.8636991183796539
