hour,dow,count_2023,fare_2023,total_2023,count_2024,fare_2024,total_2024,imputed_count,imputed_fare,imputed_total
0,0,,,,29129,18.521657798070684,26.512057056541696,20390.3,12.965160458649478,18.558439939579188
0,1,,,,7772,23.616307256819347,33.1635627895008,5440.4,16.53141507977354,23.21449395265056
0,2,,,,9157,21.594781041825925,30.705246259692082,6409.9,15.116346729278147,21.493672381784457
0,3,,,,9012,19.78335108743898,28.190722370173106,6308.4,13.848345761207286,19.73350565912117
0,4,,,,11158,20.438553504212237,29.249749058971137,7810.599999999999,14.306987452948565,20.474824341279795
0,5,,,,18194,20.795371001429082,29.626875893151578,12735.8,14.556759701000356,20.738813125206104
0,6,,,,25007,18.51764825848764,26.689688087335565,17504.899999999998,12.962353780941347,18.682781661134893
1,0,,,,21207,16.486586504456074,23.959901447635243,14844.9,11.54061055311925,16.77193101334467
1,1,,,,3972,24.870961732124872,33.970730110775435,2780.3999999999996,17.40967321248741,23.779511077542804
1,2,,,,4176,20.658055555555556,29.050972222222203,2923.2,14.460638888888889,20.33568055555554
1,3,,,,4434,17.712986017140263,24.994170049616564,3103.7999999999997,12.399090211998184,17.495919034731592
1,4,,,,4991,19.21614906832299,27.738679623321975,3493.7,13.451304347826094,19.41707573632538
1,5,,,,10073,18.96793805221879,27.17021642013305,7051.099999999999,13.277556636553154,19.019151494093133
1,6,,,,17592,16.61925875397906,24.25842144156434,12314.4,11.633481127785341,16.980895009095036
2,0,,,,14875,15.626654117647044,22.85439394957981,10412.5,10.938657882352931,15.998075764705865
2,1,,,,1896,19.3509493670886,26.995184599156094,1327.1999999999998,13.545664556962018,18.896629219409263
2,2,,,,2101,16.510818657782007,23.85178486435031,1470.6999999999998,11.557573060447405,16.696249405045215
2,3,,,,2143,16.713103126458236,23.541059262715805,1500.1,11.699172188520764,16.478741483901064
2,4,,,,2279,17.32085563843791,25.18752523036419,1595.3,12.124598946906536,17.63126766125493
2,5,,,,5306,16.365831134564644,23.984494911421024,3714.2,11.45608179419525,16.789146437994717
2,6,,,,12347,15.776299505952878,22.9845776301936,8642.9,11.043409654167014,16.089204341135517
3,0,,,,10358,16.871131492566136,24.080049237304546,7250.599999999999,11.809792044796295,16.856034466113183
3,1,,,,1466,21.04020463847204,28.952251023192357,1026.2,14.728143246930427,20.266575716234648
3,2,,,,1353,19.905528455284557,27.663991130820392,947.0999999999999,13.93386991869919,19.36479379157427
3,3,,,,1438,19.8206050069541,27.40198191933239,1006.5999999999999,13.874423504867869,19.18138734353267
3,4,,,,1552,19.180599226804127,27.622293814432997,1086.3999999999999,13.426419458762888,19.335605670103096
3,5,,,,3085,18.674612641815237,26.786622366288476,2159.5,13.072228849270665,18.750635656401933
3,6,,,,7534,16.340479161136184,23.51379479692061,5273.799999999999,11.438335412795327,16.459656357844427
4,0,,,,6847,21.401742368920694,29.37191616766468,4792.9,14.981219658244484,20.560341317365275
4,1,,,,2346,29.50793691389598,39.892280477408335,1642.1999999999998,20.655555839727185,27.924596334185832
4,2,,,,1716,28.56567599067599,38.77891608391608,1201.1999999999998,19.995973193473194,27.145241258741255
4,3,,,,1557,29.135587668593455,39.21134232498394,1089.8999999999999,20.394911368015418,27.447939627488754
4,4,,,,1652,28.3698244552058,38.59812953995155,1156.3999999999999,19.85887711864406,27.018690677966084
4,5,,,,2515,26.51276739562623,36.58761829025845,1760.5,18.55893717693836,25.61133280318091
4,6,,,,4557,21.187375466315565,28.996333113890714,3189.8999999999996,14.831162826420895,20.297433179723498
5,0,,,,3198,28.753680425265774,38.69570669168227,2238.6,20.12757629768604,27.086994684177586
5,1,,,,4163,29.34373288493873,39.52421330771079,2914.1,20.540613019457112,27.66694931539755
5,2,,,,3377,27.463651169677217,37.35401835949066,2363.8999999999996,19.22455581877405,26.14781285164346
5,3,,,,2812,26.804523470839253,36.66168563300142,1968.3999999999999,18.763166429587475,25.663179943100992
5,4,,,,3026,27.712336417713143,37.99163582286844,2118.2,19.398635492399197,26.594145076007905
5,5,,,,3288,27.632822384428227,37.959075425790736,2301.6,19.342975669099758,26.571352798053514
5,6,,,,2341,28.060756087142234,38.03747543784706,1638.6999999999998,19.642529260999563,26.62623280649294
6,0,,,,4617,26.96069742256875,35.86238466536709,3231.8999999999996,18.872488195798123,25.10366926575696
6,1,,,,8948,22.068904783191794,29.96961220384447,6263.599999999999,15.448233348234254,20.978728542691126
6,2,,,,7860,21.03529643765903,28.700470737913523,5502.0,14.724707506361321,20.090329516539466
6,3,,,,6968,20.487089552238814,28.184293915040254,4877.599999999999,14.340962686567169,19.729005740528176
6,4,,,,7769,20.85347921225384,28.39180589522462,5438.299999999999,14.597435448577688,19.874264126657234
6,5,,,,6795,22.63772774098599,30.788775570272282,4756.5,15.846409418690193,21.552142899190596
6,6,,,,3657,24.884306808859723,33.2780010937927,2559.8999999999996,17.419014766201805,23.29460076565489
7,0,,,,6770,24.31803397341212,33.24420088626295,4739.0,17.022623781388482,23.270940620384064
7,1,,,,17447,19.505384879922065,27.155199747807714,12212.9,13.653769415945446,19.008639823465398
7,2,,,,16908,18.32479418026968,25.802349775254395,11835.599999999999,12.827355926188776,18.061644842678074
7,3,,,,16031,18.448776745056442,25.879683737758164,11221.699999999999,12.914143721539508,18.115778616430713
7,4,,,,16437,18.57169556488409,25.962572853927178,11505.9,13.000186895418864,18.173800997749023
7,5,,,,14540,18.896536451169204,26.375134800550292,10178.0,13.227575515818442,18.462594360385204
7,6,,,,5698,21.53248859248858,29.459317304317278,3988.6,15.072742014742005,20.621522113022092
