hour,day_of_week,avg_speed_mph,trip_count
0,0,10.092966682121913,68392
1,0,10.455680180053477,57748
2,0,11.17250351848393,38288
3,0,11.885742229028079,26701
4,0,12.584784790100429,12638
5,0,13.510990394831058,3689
6,0,13.798318107640565,3963
7,0,13.605407545257124,5753
8,0,12.95651313632287,10149
9,0,12.306420362647225,16642
10,0,11.434206642796793,25374
11,0,10.441864230154358,32295
12,0,9.641763583849906,36694
13,0,9.196688087490813,38450
14,0,9.039272188426995,37873
15,0,9.074998593888266,36245
16,0,8.923871127345627,38512
17,0,8.965583357750054,41915
18,0,9.379953476379182,42986
19,0,9.875483443709332,34154
20,0,10.375062577622632,29882
21,0,10.734527800070648,28253
22,0,11.251110998116237,24395
23,0,11.971673246046851,15038
0,1,12.652265739751682,8589
1,1,12.920718143136554,4376
2,1,13.016680009866196,2568
3,1,13.270052261202991,1746
4,1,13.660286506571246,1803
5,1,13.321179361000848,3864
6,1,12.224340930020855,10014
7,1,10.66906239400222,19156
8,1,8.99502133646165,29060
9,1,8.389762102914473,28275
10,1,8.141469492376588,26595
11,1,8.05909236803353,27785
12,1,8.162783081538008,28780
13,1,8.323067208561428,31023
14,1,8.338869866470786,31887
15,1,8.474404457648824,33779
16,1,8.58670938134978,34219
17,1,8.590327728081151,41005
18,1,8.855047935785345,44016
19,1,9.646814238294143,35694
20,1,10.523994466888924,33821
21,1,10.640189841683114,35561
22,1,10.91041548417061,26456
23,1,11.73232496318564,13468
0,2,12.492847749371478,5646
1,2,12.976235636110275,2544
2,2,13.085525168870314,1301
3,2,13.019293807147356,928
4,2,13.658381139356374,903
5,2,13.131057018436573,3173
6,2,11.886971901164165,9582
7,2,10.04515953109827,20989
8,2,8.253336838147849,34335
9,2,7.444789991830979,33919
10,2,7.097963191155714,29404
11,2,7.036531601116366,29602
12,2,7.114288018767356,30370
13,2,7.523816196543838,32642
14,2,7.631235106667202,33801
15,2,7.761424618799628,35876
16,2,7.799634875597512,37470
17,2,7.576736166820983,48144
18,2,7.913765572655333,53650
19,2,9.047727991976517,43420
20,2,10.003805422662483,49039
21,2,10.254358125078086,54210
22,2,10.46883776017187,40032
23,2,11.145588127177113,18232
0,3,10.921193488812206,11037
1,3,10.858972347628734,7279
2,3,11.037361750451563,5158
3,3,11.486074621805459,3595
4,3,12.464234729543374,2405
5,3,13.130699737155547,3773
6,3,12.067848648459785,10518
7,3,10.23818221141142,22524
8,3,8.513835109781514,36111
9,3,7.690316894539392,35520
10,3,7.370754688965279,31431
11,3,7.160132477547476,32760
12,3,7.11817263473039,34430
13,3,7.326029728230088,37540
14,3,7.565140266434394,37733
15,3,7.620169545013914,40167
16,3,7.502618211741802,42887
17,3,7.318456673259001,55219
18,3,7.640283138750752,60958
19,3,8.572202915982446,52065
20,3,9.710771018298251,55472
21,3,10.024748515865838,60531
22,3,10.262120516764286,51557
23,3,10.920212144426172,25839
0,4,11.965853083023118,10811
1,4,12.507635037613783,5120
2,4,12.729655159801977,2824
3,4,13.060668111903631,1877
4,4,13.609342178180862,1612
5,4,13.305523238819768,4152
6,4,11.933900236683511,11653
7,4,10.09114186495903,23944
8,4,8.516528373894943,38369
9,4,7.750307136043981,37042
10,4,7.353030926100156,32690
11,4,7.092073643734535,33912
12,4,7.064310822755679,36101
13,4,7.2946006482459325,37948
14,4,7.393018721974264,39669
15,4,7.491556356993921,42223
16,4,7.509782800697758,45222
17,4,7.2160754547693955,58619
18,4,7.453669088564629,67093
19,4,8.267779783857705,60394
20,4,9.329089731016788,63355
21,4,9.593384513302631,65472
22,4,9.879423373694763,61109
23,4,10.594022715809231,43171
0,5,11.358694154905232,22818
1,5,12.00498160954401,11197
2,5,12.435758815142867,6391
3,5,12.722888857887046,3859
4,5,13.300476135721317,2881
5,5,13.3737128065569,4377
6,5,12.27567965724273,9600
7,5,10.908356075326573,17855
8,5,9.495729685911677,26633
9,5,8.70438105264706,27134
10,5,8.220688939383098,28012
11,5,7.892557259567836,30071
12,5,7.98028094036023,32405
13,5,8.140645861989267,35526
14,5,7.961183350058053,39325
15,5,7.816056775104295,42585
16,5,7.739441635669702,44150
17,5,7.725111824320881,53318
18,5,7.648904783233502,62567
19,5,7.799453834173014,61039
20,5,8.685471480142628,55751
21,5,8.57519990835676,50906
22,5,8.742584890022576,56459
23,5,9.519884609080504,63822
0,6,10.081629684409934,61977
1,6,10.65552487444884,50361
2,6,11.171990714166643,34653
3,6,12.067110733792676,20118
4,6,12.731000765030807,9093
5,6,13.604042091771772,2819
6,6,13.50001695767993,3901
7,6,13.377868258990116,5901
8,6,12.61601042718969,11221
9,6,11.712894552304693,18295
10,6,10.804123881961226,26401
11,6,9.71887749293046,33800
12,6,9.04150193590736,38803
13,6,8.432287715689117,43989
14,6,8.39350502550392,43909
15,6,8.191166520005572,47479
16,6,7.820219592428159,53951
17,6,7.700555448437921,58528
18,6,7.721736139646092,66337
19,6,7.74978035541716,73216
20,6,8.102604866391001,61419
21,6,8.32154786355065,57620
22,6,8.575446400413927,68442
23,6,9.289138282628686,72836
